province,model,bodyType,month,isSpringFestival,sales12MonthAgo,sales11MonthAgo,sales10MonthAgo,sales9MonthAgo,sales8MonthAgo,sales7MonthAgo,sales6MonthAgo,sales5MonthAgo,sales4MonthAgo,sales3MonthAgo,sales2MonthAgo,sales1MonthAgo,averageSales2Month,averageSales3Month,firstOrderTrend1,firstOrderTrend2,secondOrderTrend
1,2,2,1,0,268,263,442,321,383,408,481,506,615,423.0,528.0,509.0,518.0,487.0,-19.0,105.0,-124.0
2,2,2,1,0,292,264,403,325,415,354,487,506,484,430.0,474.0,390.0,432.0,431.0,-84.0,44.0,-128.0
3,2,2,1,0,175,149,316,260,258,252,263,332,312,348.0,334.0,351.0,342.0,344.0,17.0,-14.0,31.0
4,2,2,1,0,368,359,470,369,376,352,396,326,421,261.0,344.0,338.0,341.0,314.0,-6.0,83.0,-89.0
5,2,2,1,0,657,560,806,700,679,724,721,901,1021,668.0,951.0,949.0,950.0,856.0,-2.0,283.0,-285.0
6,2,2,1,0,301,225,317,315,350,352,460,517,524,468.0,556.0,699.0,628.0,574.0,143.0,88.0,55.0
7,2,2,1,0,775,729,1060,1229,1119,1113,1342,1502,1693,1251.0,1337.0,1344.0,1340.0,1311.0,7.0,86.0,-79.0
8,2,2,1,0,290,239,407,358,384,335,452,519,543,477.0,486.0,492.0,489.0,485.0,6.0,9.0,-3.0
9,2,2,1,0,5136,4688,10371,8733,8990,9100,9110,10367,11177,10502.0,10371.0,10504.0,10438.0,10459.0,133.0,-131.0,264.0
10,2,2,1,0,750,559,1074,832,939,901,1075,1222,1237,949.0,1026.0,968.0,997.0,981.0,-58.0,77.0,-135.0
11,2,2,1,0,1445,1635,2184,1828,1916,1948,2090,2406,2465,2160.0,2416.0,2381.0,2398.0,2319.0,-35.0,256.0,-291.0
12,2,2,1,0,435,311,545,463,483,513,576,577,634,470.0,499.0,532.0,516.0,500.0,33.0,29.0,4.0
13,2,2,1,0,498,486,847,1025,993,829,1052,1183,1231,1018.0,1146.0,1142.0,1144.0,1102.0,-4.0,128.0,-132.0
14,2,2,1,0,645,486,968,944,932,1043,1153,1163,1133,861.0,1082.0,1028.0,1055.0,990.0,-54.0,221.0,-275.0
15,2,2,1,0,1135,1205,1969,1744,1919,1847,2165,2419,2373,1801.0,2107.0,2119.0,2113.0,2009.0,12.0,306.0,-294.0
16,2,2,1,0,703,508,734,619,699,876,984,989,1033,795.0,944.0,1169.0,1056.0,969.0,225.0,149.0,76.0
17,2,2,1,0,689,445,769,687,748,707,821,1006,917,750.0,869.0,773.0,821.0,797.0,-96.0,119.0,-215.0
18,2,2,1,0,856,899,1607,1181,1494,1511,1522,1699,1828,1443.0,1626.0,1463.0,1544.0,1511.0,-163.0,183.0,-346.0
19,2,2,1,0,1110,1306,1905,1837,1784,1845,2218,2361,2147,1842.0,2177.0,1994.0,2086.0,2004.0,-183.0,335.0,-518.0
20,2,2,1,0,244,215,285,259,240,371,328,317,303,226.0,315.0,349.0,332.0,297.0,34.0,89.0,-55.0
21,2,2,1,0,340,260,369,435,466,394,526,525,529,505.0,572.0,547.0,560.0,541.0,-25.0,67.0,-92.0
22,2,2,1,0,447,521,1186,639,827,849,957,1229,987,782.0,1050.0,892.0,971.0,908.0,-158.0,268.0,-426.0
1,3,1,1,0,157,101,187,162,155,200,158,195,163,105.0,146.0,175.0,160.0,142.0,29.0,41.0,-12.0
2,3,1,1,0,290,213,293,226,236,265,410,329,332,296.0,336.0,319.0,328.0,317.0,-17.0,40.0,-57.0
3,3,1,1,0,279,174,228,241,255,251,306,251,232,183.0,204.0,204.0,204.0,197.0,0.0,21.0,-21.0
4,3,1,1,0,549,387,627,524,389,503,552,475,412,404.0,331.0,347.0,339.0,361.0,16.0,-73.0,89.0
5,3,1,1,0,516,235,377,355,370,404,481,373,432,264.0,442.0,404.0,423.0,370.0,-38.0,178.0,-216.0
6,3,1,1,0,176,83,127,116,129,142,151,124,165,116.0,140.0,133.0,136.0,130.0,-7.0,24.0,-31.0
7,3,1,1,0,420,235,353,334,323,407,400,410,471,322.0,400.0,386.0,393.0,369.0,-14.0,78.0,-92.0
8,3,1,1,0,179,103,189,173,157,177,211,167,160,125.0,164.0,165.0,164.0,151.0,1.0,39.0,-38.0
9,3,1,1,0,1713,1159,1738,1536,1581,1833,1828,1593,1985,1468.0,1849.0,1680.0,1764.0,1666.0,-169.0,381.0,-550.0
10,3,1,1,0,211,121,197,149,174,163,216,133,185,158.0,222.0,213.0,218.0,198.0,-9.0,64.0,-73.0
11,3,1,1,0,470,296,446,386,375,444,454,461,476,350.0,444.0,456.0,450.0,417.0,12.0,94.0,-82.0
12,3,1,1,0,126,55,113,112,112,126,130,154,177,120.0,135.0,111.0,123.0,122.0,-24.0,15.0,-39.0
13,3,1,1,0,389,251,371,364,437,425,531,444,375,300.0,363.0,361.0,362.0,341.0,-2.0,63.0,-65.0
14,3,1,1,0,377,202,331,306,338,396,390,320,382,301.0,333.0,285.0,309.0,306.0,-48.0,32.0,-80.0
15,3,1,1,0,401,264,349,335,366,380,435,444,478,383.0,410.0,433.0,422.0,409.0,23.0,27.0,-4.0
16,3,1,1,0,321,189,271,255,230,322,292,267,293,194.0,219.0,238.0,228.0,217.0,19.0,25.0,-6.0
17,3,1,1,0,284,146,275,262,250,285,292,286,299,216.0,222.0,198.0,210.0,212.0,-24.0,6.0,-30.0
18,3,1,1,0,167,81,107,85,111,132,133,94,129,102.0,123.0,116.0,120.0,114.0,-7.0,21.0,-28.0
19,3,1,1,0,506,316,529,433,489,457,606,708,531,506.0,552.0,570.0,561.0,543.0,18.0,46.0,-28.0
20,3,1,1,0,213,116,188,148,168,179,203,176,174,114.0,143.0,150.0,146.0,136.0,7.0,29.0,-22.0
21,3,1,1,0,297,206,288,291,280,277,346,254,290,201.0,173.0,274.0,224.0,216.0,101.0,-28.0,129.0
22,3,1,1,0,315,155,306,267,240,317,304,316,199,191.0,233.0,316.0,274.0,247.0,83.0,42.0,41.0
1,4,2,1,0,117,96,135,131,161,142,167,201,221,204.0,244.0,241.0,242.0,230.0,-3.0,40.0,-43.0
2,4,2,1,0,173,110,159,185,191,176,253,332,399,317.0,430.0,450.0,440.0,399.0,20.0,113.0,-93.0
3,4,2,1,0,89,72,136,148,139,117,145,167,204,226.0,182.0,234.0,208.0,214.0,52.0,-44.0,96.0
4,4,2,1,0,136,109,179,166,96,85,131,159,164,150.0,176.0,192.0,184.0,173.0,16.0,26.0,-10.0
5,4,2,1,0,351,212,361,425,290,324,427,553,667,370.0,470.0,634.0,552.0,491.0,164.0,100.0,64.0
6,4,2,1,0,264,151,204,182,203,195,266,313,338,363.0,329.0,326.0,328.0,339.0,-3.0,-34.0,31.0
7,4,2,1,0,225,175,357,467,449,285,377,522,729,587.0,608.0,608.0,608.0,601.0,0.0,21.0,-21.0
8,4,2,1,0,92,70,148,181,165,127,190,198,230,208.0,227.0,280.0,254.0,238.0,53.0,19.0,34.0
9,4,2,1,0,2391,1639,3992,3988,3668,3906,4522,4949,5596,4889.0,5245.0,5402.0,5324.0,5179.0,157.0,356.0,-199.0
10,4,2,1,0,248,166,443,418,434,344,461,540,630,553.0,544.0,603.0,574.0,567.0,59.0,-9.0,68.0
11,4,2,1,0,680,651,982,1039,1051,947,1072,1268,1400,1213.0,1183.0,1289.0,1236.0,1228.0,106.0,-30.0,136.0
12,4,2,1,0,208,96,254,328,298,271,331,451,520,466.0,388.0,442.0,415.0,432.0,54.0,-78.0,132.0
13,4,2,1,0,248,284,584,570,485,345,559,623,645,615.0,535.0,587.0,561.0,579.0,52.0,-80.0,132.0
14,4,2,1,0,338,242,578,638,439,516,644,816,854,726.0,725.0,750.0,738.0,734.0,25.0,-1.0,26.0
15,4,2,1,0,747,739,1438,1404,1200,1131,1522,1730,1887,1466.0,1612.0,1720.0,1666.0,1599.0,108.0,146.0,-38.0
16,4,2,1,0,450,226,461,459,468,446,524,665,780,873.0,715.0,831.0,773.0,806.0,116.0,-158.0,274.0
17,4,2,1,0,394,223,436,554,554,548,663,787,891,679.0,645.0,705.0,675.0,676.0,60.0,-34.0,94.0
18,4,2,1,0,231,173,535,612,676,709,737,966,1034,837.0,825.0,906.0,866.0,856.0,81.0,-12.0,93.0
19,4,2,1,0,213,233,610,646,562,459,596,792,810,690.0,865.0,827.0,846.0,794.0,-38.0,175.0,-213.0
20,4,2,1,0,123,85,166,157,116,162,140,173,200,168.0,168.0,214.0,191.0,183.0,46.0,0.0,46.0
21,4,2,1,0,148,105,202,242,221,226,279,358,344,333.0,331.0,356.0,344.0,340.0,25.0,-2.0,27.0
22,4,2,1,0,90,85,233,244,241,205,236,349,303,327.0,519.0,331.0,425.0,392.0,-188.0,192.0,-380.0
1,5,3,1,0,199,177,267,169,193,170,168,208,216,192.0,208.0,319.0,264.0,240.0,111.0,16.0,95.0
2,5,3,1,0,4785,3067,2754,2281,2227,1995,2206,1981,2469,3585.0,3111.0,3929.0,3520.0,3542.0,818.0,-474.0,1292.0
3,5,3,1,0,504,451,680,487,440,356,384,433,467,506.0,620.0,679.0,650.0,602.0,59.0,114.0,-55.0
4,5,3,1,0,151,92,197,124,132,112,101,80,136,106.0,116.0,176.0,146.0,133.0,60.0,10.0,50.0
5,5,3,1,0,1724,1537,1481,1090,1021,990,1018,1119,1242,1321.0,1366.0,1656.0,1511.0,1448.0,290.0,45.0,245.0
6,5,3,1,0,2152,1881,1518,1284,1266,1165,1072,1126,1266,1339.0,1314.0,2026.0,1670.0,1560.0,712.0,-25.0,737.0
7,5,3,1,0,4483,3060,2839,2545,2879,2279,2583,2917,2744,3229.0,2974.0,4723.0,3848.0,3642.0,1749.0,-255.0,2004.0
8,5,3,1,0,2093,1361,1353,1118,1259,955,1154,1235,1338,1662.0,1670.0,2474.0,2072.0,1935.0,804.0,8.0,796.0
9,5,3,1,0,1611,1579,2180,1684,1684,1682,1409,1573,1720,1696.0,1650.0,2071.0,1860.0,1806.0,421.0,-46.0,467.0
10,5,3,1,0,3084,1836,2310,1540,1616,1343,1308,1943,1360,1586.0,1801.0,3003.0,2402.0,2130.0,1202.0,215.0,987.0
11,5,3,1,0,2165,2419,2029,1601,1578,1375,1523,1501,1651,1865.0,1898.0,2708.0,2303.0,2157.0,810.0,33.0,777.0
12,5,3,1,0,1290,922,875,668,648,536,537,656,666,811.0,761.0,1120.0,940.0,897.0,359.0,-50.0,409.0
13,5,3,1,0,3870,3403,2945,3015,3119,2522,2789,2808,2753,3344.0,3669.0,5765.0,4717.0,4259.0,2096.0,325.0,1771.0
14,5,3,1,0,5825,3564,3197,2704,2715,2598,2658,2563,2664,3259.0,3278.0,5332.0,4305.0,3956.0,2054.0,19.0,2035.0
15,5,3,1,0,1260,1629,1592,1156,1224,1121,1218,1188,1319,1309.0,1393.0,2159.0,1776.0,1620.0,766.0,84.0,682.0
16,5,3,1,0,1919,1140,1262,895,1069,835,836,949,1018,1151.0,1055.0,1688.0,1372.0,1298.0,633.0,-96.0,729.0
17,5,3,1,0,2364,1506,1541,1174,1020,997,939,1035,1185,1214.0,1290.0,1897.0,1594.0,1467.0,607.0,76.0,531.0
18,5,3,1,0,592,650,741,463,546,473,389,402,400,437.0,440.0,582.0,511.0,486.0,142.0,3.0,139.0
19,5,3,1,0,924,939,1322,959,988,854,912,964,1041,839.0,1156.0,1651.0,1404.0,1215.0,495.0,317.0,178.0
20,5,3,1,0,250,248,235,212,191,173,197,218,241,244.0,273.0,391.0,332.0,303.0,118.0,29.0,89.0
21,5,3,1,0,2072,1105,1314,1222,1105,910,1051,1117,1406,1562.0,1664.0,2796.0,2230.0,2007.0,1132.0,102.0,1030.0
22,5,3,1,0,506,518,806,657,585,602,530,544,540,569.0,743.0,737.0,740.0,683.0,-6.0,174.0,-180.0
1,6,1,1,0,382,114,351,229,285,289,234,347,399,276.0,363.0,636.0,500.0,425.0,273.0,87.0,186.0
2,6,1,1,0,484,300,452,403,419,390,633,639,493,556.0,594.0,644.0,619.0,598.0,50.0,38.0,12.0
3,6,1,1,0,551,317,489,505,604,525,595,623,640,628.0,626.0,750.0,688.0,668.0,124.0,-2.0,126.0
4,6,1,1,0,212,102,180,142,124,93,130,133,130,95.0,126.0,103.0,114.0,108.0,-23.0,31.0,-54.0
5,6,1,1,0,1223,671,850,790,838,870,1020,1346,1101,933.0,1042.0,1437.0,1240.0,1137.0,395.0,109.0,286.0
6,6,1,1,0,1515,717,1018,980,1077,1165,1206,1280,1168,1138.0,990.0,1681.0,1336.0,1270.0,691.0,-148.0,839.0
7,6,1,1,0,1706,842,1734,1902,2031,1983,2192,2226,2022,2178.0,2008.0,2607.0,2308.0,2264.0,599.0,-170.0,769.0
8,6,1,1,0,533,312,595,582,569,606,683,717,614,692.0,659.0,899.0,779.0,750.0,240.0,-33.0,273.0
9,6,1,1,0,5607,2647,5713,4896,5717,5445,4899,5914,5863,5896.0,5979.0,7407.0,6693.0,6427.0,1428.0,83.0,1345.0
10,6,1,1,0,799,409,719,453,603,532,611,719,734,660.0,643.0,884.0,764.0,729.0,241.0,-17.0,258.0
11,6,1,1,0,1728,1016,1729,1498,1701,1735,1850,1857,1722,1874.0,1842.0,2285.0,2064.0,2000.0,443.0,-32.0,475.0
12,6,1,1,0,1027,356,690,687,838,753,813,1041,905,884.0,830.0,1216.0,1023.0,977.0,386.0,-54.0,440.0
13,6,1,1,0,2119,1271,2126,2486,2863,2426,2914,2989,2361,2420.0,2498.0,3194.0,2846.0,2704.0,696.0,78.0,618.0
14,6,1,1,0,2952,1308,2514,2566,2841,2880,3363,3319,2677,2531.0,2633.0,3491.0,3062.0,2885.0,858.0,102.0,756.0
15,6,1,1,0,795,459,876,905,1141,1077,1165,1379,1241,1255.0,1301.0,1758.0,1530.0,1438.0,457.0,46.0,411.0
16,6,1,1,0,1566,597,1095,1029,1047,1133,1293,1344,1288,1247.0,1304.0,1787.0,1546.0,1446.0,483.0,57.0,426.0
17,6,1,1,0,1651,844,1487,1573,1636,1382,1564,1802,1482,1432.0,1538.0,2118.0,1828.0,1696.0,580.0,106.0,474.0
18,6,1,1,0,264,148,314,267,427,418,348,436,384,415.0,479.0,528.0,504.0,474.0,49.0,64.0,-15.0
19,6,1,1,0,241,211,360,293,362,342,372,462,408,449.0,502.0,569.0,536.0,507.0,67.0,53.0,14.0
20,6,1,1,0,803,328,472,453,543,623,549,633,579,475.0,575.0,899.0,737.0,650.0,324.0,100.0,224.0
21,6,1,1,0,620,247,468,497,551,436,566,577,553,626.0,533.0,863.0,698.0,674.0,330.0,-93.0,423.0
22,6,1,1,0,399,306,506,449,585,503,512,594,572,502.0,654.0,641.0,648.0,599.0,-13.0,152.0,-165.0
1,7,3,1,0,1265,890,1247,1119,1184,1456,1316,1194,1258,958.0,1329.0,1307.0,1318.0,1198.0,-22.0,371.0,-393.0
2,7,3,1,0,104,63,214,133,132,248,173,187,150,190.0,144.0,353.0,248.0,229.0,209.0,-46.0,255.0
3,7,3,1,0,86,64,154,131,164,163,146,193,187,137.0,144.0,183.0,164.0,155.0,39.0,7.0,32.0
4,7,3,1,0,1352,1114,1508,1132,1430,1670,1367,1416,1463,1056.0,1425.0,1358.0,1392.0,1280.0,-67.0,369.0,-436.0
5,7,3,1,0,208,187,254,335,308,285,276,420,431,254.0,309.0,419.0,364.0,327.0,110.0,55.0,55.0
6,7,3,1,0,253,175,322,340,315,352,311,384,398,291.0,357.0,408.0,382.0,352.0,51.0,66.0,-15.0
7,7,3,1,0,878,649,1303,1248,1216,1405,1283,1284,1321,1189.0,1365.0,1388.0,1376.0,1314.0,23.0,176.0,-153.0
8,7,3,1,0,165,123,244,320,272,242,233,292,344,209.0,376.0,361.0,368.0,315.0,-15.0,167.0,-182.0
9,7,3,1,0,762,448,944,1100,1025,1038,994,984,1134,946.0,1148.0,1508.0,1328.0,1201.0,360.0,202.0,158.0
10,7,3,1,0,92,54,103,134,119,86,123,99,126,97.0,133.0,140.0,136.0,123.0,7.0,36.0,-29.0
11,7,3,1,0,974,650,1188,1289,1048,1276,1137,1253,1328,1121.0,1341.0,1287.0,1314.0,1250.0,-54.0,220.0,-274.0
12,7,3,1,0,118,85,164,140,153,162,165,154,204,178.0,201.0,233.0,217.0,204.0,32.0,23.0,9.0
13,7,3,1,0,470,361,599,660,769,569,656,773,873,579.0,821.0,781.0,801.0,727.0,-40.0,242.0,-282.0
14,7,3,1,0,517,345,763,731,685,764,754,849,909,743.0,742.0,950.0,846.0,812.0,208.0,-1.0,209.0
15,7,3,1,0,534,424,754,915,865,808,908,999,1113,743.0,1029.0,1213.0,1121.0,995.0,184.0,286.0,-102.0
16,7,3,1,0,151,103,240,253,187,234,272,286,270,205.0,266.0,368.0,317.0,280.0,102.0,61.0,41.0
17,7,3,1,0,101,59,203,163,182,206,192,239,250,170.0,213.0,229.0,221.0,204.0,16.0,43.0,-27.0
18,7,3,1,0,123,106,206,303,187,204,204,249,241,181.0,243.0,234.0,238.0,219.0,-9.0,62.0,-71.0
19,7,3,1,0,181,154,357,324,363,378,413,435,413,296.0,399.0,456.0,428.0,384.0,57.0,103.0,-46.0
20,7,3,1,0,60,71,130,181,128,151,124,150,168,111.0,139.0,208.0,174.0,153.0,69.0,28.0,41.0
21,7,3,1,0,234,179,320,305,340,358,313,390,434,291.0,339.0,372.0,356.0,334.0,33.0,48.0,-15.0
22,7,3,1,0,129,74,323,185,255,260,224,227,281,192.0,276.0,260.0,268.0,243.0,-16.0,84.0,-100.0
1,8,2,1,0,325,168,288,309,527,516,379,272,357,325.0,514.0,777.0,646.0,539.0,263.0,189.0,74.0
2,8,2,1,0,40,25,38,54,68,55,75,116,109,89.0,134.0,159.0,146.0,127.0,25.0,45.0,-20.0
3,8,2,1,0,31,18,29,46,51,51,61,78,46,46.0,54.0,65.0,60.0,55.0,11.0,8.0,3.0
4,8,2,1,0,40,51,59,50,54,60,151,111,68,85.0,105.0,145.0,125.0,112.0,40.0,20.0,20.0
5,8,2,1,0,216,117,192,175,229,259,209,437,371,295.0,259.0,409.0,334.0,321.0,150.0,-36.0,186.0
6,8,2,1,0,357,148,207,278,368,463,445,401,385,356.0,460.0,816.0,638.0,544.0,356.0,104.0,252.0
7,8,2,1,0,320,180,373,400,374,355,402,517,287,263.0,333.0,555.0,444.0,384.0,222.0,70.0,152.0
8,8,2,1,0,30,23,28,38,44,60,71,103,47,63.0,79.0,113.0,96.0,85.0,34.0,16.0,18.0
9,8,2,1,0,121,39,166,158,211,185,222,453,438,420.0,538.0,681.0,610.0,546.0,143.0,118.0,25.0
10,8,2,1,0,68,34,47,50,71,60,56,125,119,131.0,111.0,165.0,138.0,136.0,54.0,-20.0,74.0
11,8,2,1,0,893,628,788,879,1067,1002,995,690,648,797.0,1072.0,1853.0,1462.0,1241.0,781.0,275.0,506.0
12,8,2,1,0,169,92,161,188,202,170,233,263,198,189.0,283.0,371.0,327.0,281.0,88.0,94.0,-6.0
13,8,2,1,0,80,56,93,108,163,149,199,289,190,211.0,214.0,334.0,274.0,253.0,120.0,3.0,117.0
14,8,2,1,0,183,97,185,329,340,259,262,298,278,272.0,313.0,640.0,476.0,408.0,327.0,41.0,286.0
15,8,2,1,0,445,309,478,511,775,845,706,532,466,593.0,691.0,1174.0,932.0,819.0,483.0,98.0,385.0
16,8,2,1,0,211,94,172,184,195,243,185,256,244,251.0,275.0,477.0,376.0,334.0,202.0,24.0,178.0
17,8,2,1,0,201,83,173,167,198,189,202,231,221,183.0,298.0,428.0,363.0,303.0,130.0,115.0,15.0
18,8,2,1,0,54,20,51,78,114,140,134,168,156,185.0,156.0,239.0,198.0,193.0,83.0,-29.0,112.0
19,8,2,1,0,28,21,52,82,45,37,92,119,77,81.0,81.0,100.0,90.0,87.0,19.0,0.0,19.0
20,8,2,1,0,28,20,37,37,33,64,92,101,91,99.0,133.0,157.0,145.0,130.0,24.0,34.0,-10.0
21,8,2,1,0,107,51,78,83,124,102,102,142,134,146.0,140.0,270.0,205.0,185.0,130.0,-6.0,136.0
22,8,2,1,0,11,11,8,18,20,17,27,60,33,21.0,34.0,72.0,53.0,42.0,38.0,13.0,25.0
1,9,1,1,0,940,540,957,807,919,933,755,914,982,870.0,1135.0,1476.0,1306.0,1160.0,341.0,265.0,76.0
2,9,1,1,0,400,288,346,301,327,290,401,329,345,355.0,366.0,460.0,413.0,394.0,94.0,11.0,83.0
3,9,1,1,0,322,195,323,333,363,302,240,293,382,398.0,354.0,404.0,379.0,385.0,50.0,-44.0,94.0
4,9,1,1,0,659,394,601,489,595,532,503,449,472,373.0,574.0,601.0,588.0,516.0,27.0,201.0,-174.0
5,9,1,1,0,1072,611,873,761,808,800,793,898,1218,888.0,1018.0,1309.0,1164.0,1072.0,291.0,130.0,161.0
6,9,1,1,0,1015,457,773,664,769,751,688,875,1020,977.0,994.0,1540.0,1267.0,1170.0,546.0,17.0,529.0
7,9,1,1,0,1077,522,1253,1236,1215,1019,955,1078,1388,1080.0,1407.0,1912.0,1660.0,1466.0,505.0,327.0,178.0
8,9,1,1,0,375,248,450,310,404,335,340,378,448,532.0,597.0,603.0,600.0,577.0,6.0,65.0,-59.0
9,9,1,1,0,949,463,1024,892,976,1062,838,972,1048,1071.0,1472.0,1666.0,1569.0,1403.0,194.0,401.0,-207.0
10,9,1,1,0,341,210,322,222,345,302,257,262,298,338.0,411.0,452.0,432.0,400.0,41.0,73.0,-32.0
11,9,1,1,0,1466,939,1519,1181,1355,1281,1072,1305,1574,1407.0,1600.0,2311.0,1956.0,1773.0,711.0,193.0,518.0
12,9,1,1,0,753,397,757,746,837,677,745,886,1080,1037.0,1127.0,1457.0,1292.0,1207.0,330.0,90.0,240.0
13,9,1,1,0,691,404,655,694,773,655,680,691,793,740.0,923.0,1186.0,1054.0,950.0,263.0,183.0,80.0
14,9,1,1,0,1000,589,1119,1013,903,937,951,1080,1247,1099.0,1363.0,1718.0,1540.0,1393.0,355.0,264.0,91.0
15,9,1,1,0,1003,537,978,796,1015,879,797,986,1136,1153.0,1265.0,1599.0,1432.0,1339.0,334.0,112.0,222.0
16,9,1,1,0,1025,485,1058,873,1015,949,835,965,1376,1214.0,1261.0,1687.0,1474.0,1387.0,426.0,47.0,379.0
17,9,1,1,0,1217,467,1068,962,1084,875,893,959,1329,1057.0,1310.0,1665.0,1488.0,1344.0,355.0,253.0,102.0
18,9,1,1,0,522,257,433,373,497,408,356,398,487,518.0,526.0,610.0,568.0,551.0,84.0,8.0,76.0
19,9,1,1,0,254,172,277,329,290,263,262,428,438,320.0,413.0,528.0,470.0,420.0,115.0,93.0,22.0
20,9,1,1,0,420,252,342,321,324,387,329,286,390,312.0,436.0,653.0,544.0,467.0,217.0,124.0,93.0
21,9,1,1,0,365,184,306,238,357,732,447,312,423,398.0,433.0,545.0,489.0,459.0,112.0,35.0,77.0
22,9,1,1,0,142,121,207,187,231,186,143,232,203,179.0,234.0,253.0,244.0,222.0,19.0,55.0,-36.0
1,10,2,1,0,635,513,975,1070,1137,2596,1172,1207,1337,691.0,798.0,1456.0,1127.0,982.0,658.0,107.0,551.0
2,10,2,1,0,249,167,333,316,408,510,602,649,565,362.0,313.0,628.0,470.0,434.0,315.0,-49.0,364.0
3,10,2,1,0,285,178,320,330,439,413,440,575,685,372.0,350.0,528.0,439.0,417.0,178.0,-22.0,200.0
4,10,2,1,0,106,74,113,101,453,335,314,124,110,37.0,81.0,129.0,105.0,82.0,48.0,44.0,4.0
5,10,2,1,0,1134,763,1522,1501,1649,1954,1996,2318,2175,1415.0,1425.0,2127.0,1776.0,1656.0,702.0,10.0,692.0
6,10,2,1,0,1607,968,1908,2068,2171,2517,2384,2828,2098,1480.0,1747.0,3502.0,2624.0,2243.0,1755.0,267.0,1488.0
7,10,2,1,0,2048,1323,3138,3779,4223,3954,4263,5234,4184,2802.0,2819.0,4833.0,3826.0,3485.0,2014.0,17.0,1997.0
8,10,2,1,0,317,283,629,610,883,1085,1017,1391,967,750.0,729.0,1287.0,1008.0,922.0,558.0,-21.0,579.0
9,10,2,1,0,695,488,1495,1512,1848,2203,1964,2643,2750,2176.0,1693.0,2408.0,2050.0,2092.0,715.0,-483.0,1198.0
10,10,2,1,0,475,293,738,554,830,966,1021,1065,1006,598.0,719.0,1181.0,950.0,833.0,462.0,121.0,341.0
11,10,2,1,0,2657,2401,4119,4083,4704,4995,4877,5866,4453,3479.0,3686.0,5860.0,4773.0,4342.0,2174.0,207.0,1967.0
12,10,2,1,0,923,549,1502,1828,1895,1662,1811,1988,1776,1261.0,1656.0,3171.0,2414.0,2029.0,1515.0,395.0,1120.0
13,10,2,1,0,900,720,1379,2198,2809,2761,2856,3219,1969,1711.0,1899.0,3116.0,2508.0,2242.0,1217.0,188.0,1029.0
